Year,Item,Value
2021,Salary Cap,1339000
2021,Roster Size Requirement,11 to 12
2021,Player Supermaximum,221450
2021,Player Maximum,190550
2021,Player Minimum (3+ YOS),70040
2021,Player Minimum (0-2 YOS),58710
2022,Salary Cap,1379200
2022,Roster Size Requirement,11 to 12
2022,Player Supermaximum,228094
2022,Player Maximum,196267
2022,Player Minimum (3+ YOS),72141
2022,Player Minimum (0-2 YOS),60471
2023,Salary Cap,1420500
2023,Roster Size Requirement,11 to 12
2023,Player Supermaximum,234936
2023,Player Maximum,202154
2023,Player Minimum (3+ YOS),74305
2023,Player Minimum (0-2 YOS),62285
2024,Salary Cap,1463200
2024,Roster Size Requirement,11 to 12
2024,Player Supermaximum,241984
2024,Player Maximum,208219
2024,Player Minimum (3+ YOS),76535
2024,Player Minimum (0-2 YOS),64154
2025,Salary Cap,1507100
2025,Roster Size Requirement,11 to 12
2025,Player Supermaximum,249244
2025,Player Maximum,214466
2025,Player Minimum (3+ YOS),78831
2025,Player Minimum (0-2 YOS),66079
