Year,Team,Total_Salaries,Total_Players,Cap_Room,Guaranteed_Salaries
2021,Atlanta Dream,1339000,13,0,798700
2021,Chicago Sky,1338778,11,222,953375
2021,Connecticut Sun,1352115,11,-13115,1053496
2021,Dallas Wings,1243559,12,95441,716381
2021,Golden State Valkyries,0,0,1339000,0
2021,Indiana Fever,1277179,12,61821,645991
2021,Las Vegas Aces,1345922,11,-6922,969110
2021,Los Angeles Sparks,1338518,11,482,882643
2021,Minnesota Lynx,1346277,12,-7277,979210
2021,New York Liberty,1338063,12,937,855907
2021,Phoenix Mercury,1353144,11,-14144,874513
2021,Seattle Storm,1336367,13,2633,725569
2021,Washington Mystics,1278114,12,60886,805556
2022,Atlanta Dream,1387450,13,-8250,659767
2022,Chicago Sky,1390326,10,-11126,1072350
2022,Connecticut Sun,1388073,12,-8873,1146206
2022,Dallas Wings,1351880,12,27320,713372
2022,Golden State Valkyries,0,0,1379200,0
2022,Indiana Fever,1362025,12,17175,840289
2022,Las Vegas Aces,1379122,12,78,735584
2022,Los Angeles Sparks,1318891,12,60309,777480
2022,Minnesota Lynx,1407819,11,-28619,1061106
2022,New York Liberty,1379195,12,5,974516
2022,Phoenix Mercury,1436777,13,-57577,745512
2022,Seattle Storm,1374438,11,4762,1020400
2022,Washington Mystics,1378288,12,912,1081636
2023,Atlanta Dream,1373605,12,46895,872239
2023,Chicago Sky,1473955,13,-53455,979864
2023,Connecticut Sun,1420713,11,-213,913780
2023,Dallas Wings,1422602,12,-2102,963481
2023,Golden State Valkyries,0,0,1420500,0
2023,Indiana Fever,1353656,12,66844,794611
2023,Las Vegas Aces,1445084,12,-24584,963588
2023,Los Angeles Sparks,1568135,13,-147635,879457
2023,Minnesota Lynx,1516298,11,-95798,660839
2023,New York Liberty,1446733,10,-26233,1250863
2023,Phoenix Mercury,1497615,12,-77115,910616
2023,Seattle Storm,1419930,11,570,989019
2023,Washington Mystics,1458970,11,-38470,1106162
2024,Atlanta Dream,1450114,13,13086,920328
2024,Chicago Sky,1329477,13,133723,911452
2024,Connecticut Sun,1463200,11,0,1021864
2024,Dallas Wings,1470002,11,-6802,1043201
2024,Golden State Valkyries,0,0,1463200,0
2024,Indiana Fever,1396695,12,66505,801216
2024,Las Vegas Aces,1463200,12,0,960477
2024,Los Angeles Sparks,1412887,14,50313,913978
2024,Minnesota Lynx,1463179,12,21,722093
2024,New York Liberty,1463167,12,33,764543
2024,Phoenix Mercury,1462487,12,713,1259851
2024,Seattle Storm,1462496,11,704,1164178
2024,Washington Mystics,1424013,12,39187,851011
2025,Atlanta Dream,1506483,12,617,1289510
2025,Chicago Sky,1502627,12,4473,627387
2025,Connecticut Sun,1292753,12,214347,713063
2025,Dallas Wings,1518904,15,-11804,844320
2025,Golden State Valkyries,1287618,13,219482,437813
2025,Indiana Fever,1491116,16,15984,891404
2025,Las Vegas Aces,1530746,11,-23646,1182828
2025,Los Angeles Sparks,1487034,12,20066,773720
2025,Minnesota Lynx,1508049,12,-949,939420
2025,New York Liberty,1504935,12,2165,733657
2025,Phoenix Mercury,1506620,12,480,990811
2025,Seattle Storm,1464680,12,42420,1111874
2025,Washington Mystics,1235882,12,271218,406431
